dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-12 19:50:48,ROVER_DIESEL__TURBO__105PS__TÜV/AU__NOV_2017____KLIMA_Sitzheizung,privat,Offer,899,control,andere,1998,Unspecified,105,andere,150000,Oct,Diesel,rover,Other,2016-03-12 00:00:00,35684,2016-03-17 23:18:21,2016,2016,March,March,5,23,18,2
2016-03-08 10:52:52,Rover_400_zum_ausschlachten.ersatzteil_Gewinnung,privat,Offer,150,test,andere,1998,Unspecified,0,andere,5000,Jan,Gasoline,rover,Other,2016-03-08 00:00:00,15370,2016-03-12 17:15:59,2016,2016,March,March,4,17,18,11
2016-03-08 13:47:10,Rover_mg_25,privat,Offer,499,control,andere,2000,manuell,85,Other,150000,Jun,Gasoline,rover,Yes,2016-03-08 00:00:00,78655,2016-03-23 15:18:34,2016,2016,March,March,15,15,16,6
2016-03-31 17:48:02,Rover_Kleinwagen_TÜV__1.Hand_zahnriemen,privat,Offer,1600,control,andere,1999,manuell,0,andere,100000,Apr,Gasoline,rover,No,2016-03-31 00:00:00,28239,2016-04-06 11:17:55,2016,2016,March,March,6,11,17,8
2016-03-12 19:56:47,ROVER_DIESEL__TURBO__105PS__TÜV/AU__NOV_2017____KLIMA_Sitzheizung,privat,Offer,899,test,andere,1998,Unspecified,105,andere,150000,Oct,Diesel,rover,Other,2016-03-12 00:00:00,35684,2016-03-17 23:18:33,2016,2016,March,March,5,23,18,2
2016-03-12 20:25:54,ROVER_DIESEL__TURBO__105PS__TÜV/AU__NOV_2017____KLIMA_Sitzheizung,privat,Offer,899,control,andere,1998,Unspecified,105,andere,150000,Oct,Diesel,rover,Other,2016-03-12 00:00:00,35684,2016-03-17 21:45:22,2016,2016,March,March,5,21,18,2
2016-03-11 20:56:40,Rover_214si,privat,Offer,700,control,andere,1996,manuell,103,andere,150000,Aug,Gasoline,rover,Yes,2016-03-11 00:00:00,14548,2016-04-06 05:46:37,2016,2016,March,March,26,5,20,4
